"GeneID","GeneName","control.Expression","treat.Expression","log2FoldChange","pvalue","padj","Up.Down.Regulation","shNC_HT29.1","shNC_HT29.2","shNC_HT29.3","shHMGA1_HT29.1","shHMGA1_HT29.2","shHMGA1_HT29.3"
"ENSG00000224597.10","SVIL-AS1",387.1627521,344.253741,-0.169467829,0.155830229,0.29055808,"*",18.06,16.42,16.83,14.89,12.13,13.58
"ENSG00000238105.7","GOLGA2P5",638.6979792,719.8585952,0.172579654,0.155920034,0.290692699,"*",8,7.85,6.24,9.37,7.03,8.53
"ENSG00000203965.13","EFCAB7",256.6768041,297.3741799,0.212326463,0.156115011,0.291023343,"*",5.38,5.63,4.56,6.02,4.79,5.59
"ENSG00000117399.14","CDC20",9011.489362,8559.067005,-0.074312023,0.156266786,0.291273384,"*",214.89,227.16,236.47,220.48,219.8,220.94
"ENSG00000055955.16","ITIH4",38.8624142,53.18141212,0.452546559,0.156297416,0.291297589,"*",1.28,0.81,0.74,0.69,1.92,2.02
"ENSG00000114812.13","VIPR1",211.3710444,243.6762717,0.205188018,0.156320681,0.291306201,"*",3.59,3.88,3.66,4.03,4.14,4.17
"ENSG00000115364.14","MRPL19",2316.511187,2466.590047,0.090564307,0.156373217,0.291306201,"*",44.63,43.84,41.56,46.87,52.6,49.22
"ENSG00000260852.1","FBXL19-AS1",144.2814445,172.7150393,0.25950794,0.156390263,0.291306201,"*",1.47,1.31,1.27,1.84,1.64,1.4
"ENSG00000139132.14","FGD4",347.4910896,303.0097361,-0.197611835,0.156376659,0.291306201,"*",2.25,2.39,1.82,2.26,1.61,1.63
"ENSG00000272638.1","AC006027.1",16.4639238,26.24504424,0.67273682,0.156367892,0.291306201,"*",1.07,1.29,1.56,1.43,2.32,2.58
"ENSG00000197405.8","C5AR1",75.64461722,95.62667291,0.338175656,0.156424318,0.291336763,"*",1.36,1.68,1.19,1.98,1.75,2.06
"novel.23839","novel.23839",14.83252662,7.887582117,-0.911109347,0.156512094,0.291467361,"*",6.75,9.08,5.93,4.71,5.34,2.81
"ENSG00000107959.16","PITRM1",2422.782719,2288.292379,-0.082393627,0.156580413,0.291561701,"*",27.95,29.91,28.66,26.98,28.42,27.99
"ENSG00000154359.13","LONRF1",848.4470394,778.5224772,-0.124085916,0.156600659,0.291566514,"*",12.42,12.58,12.32,12.5,10.56,11.44
"ENSG00000118855.19","MFSD1",573.1364255,629.4843813,0.135291993,0.156710313,0.291737192,"*",10.76,10.66,10.67,11.53,11.65,12.25
"ENSG00000223891.5","OSER1-DT",129.1769475,104.9116225,-0.300174121,0.156727673,0.291737192,"*",3.59,3.8,4.43,2.99,2.93,4.01
"ENSG00000149591.16","TAGLN",294.1590908,415.7350684,0.499067826,0.156768015,0.291779387,"*",12.64,12.95,12.37,26.99,10.22,19.24
